system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,VV,VH,HH,HV,Blue,Green,Red,NIR,SWIR1,SWIR2,elevation,slope,aspect,CFFDRS,Row,Col,PointX,PointY,random,longitude,latitude,NDVI,NBR,NDWI1,NDWI2,Tcbrightness,TCGreeness,TCWetness,SR,NPDI
000000000000000064f0_0,-0.048227605,-0.051733948,-0.062991157,-0.199861592,-0.003014225,-0.098423683,0.124567474,0.153787005,0.153787005,-0.01384083,-0.32781238,0.284444444,-0.135886198,0.035432526,-0.221453287,0.214133026,0.048227605,-0.044844291,-0.088827374,-0.048227605,0.075355632,0.221453287,-0.03254133,-0.179377163,-0.051733948,0.153787005,-0.004982699,0.019930796,-0.027128028,-0.135886198,-0.01384083,-0.01384083,-0.051733948,-0.075355632,-0.103406382,-0.019930796,-0.010396002,0.048227605,-0.093564014,0.119092657,0.00153787,0.284444444,-0.192910419,-0.124567474,0.093564014,0.310096117,0.071111111,-0.071111111,-0.244152249,-0.079723183,0.066989619,0.03254133,-0.041584006,-0.135886198,0.027128028,0.071111111,0.051733948,0.027128028,0.035432526,-0.038446751,-0.066989619,0.141730104,-0.075355632,0.044844291,-10.8064744,-17.59686703,-9999,-9999,0.42515,0.45405,0.4513,0.4807,0.1332,0.07005,513.9446,21.068779,140.14122,60,43372,74183,50460,1082550,0.576769805,-153.0995595,59.73100445,0.031545064,0.74561961,0.566053103,-0.028510297,0.819199315,-0.130219765,0.33868819,1.628363366,-0.239070204
00000000000000007a98_0,-0.130165321,-0.199861592,-0.017777778,-0.186082276,0.098423683,-0.113740869,-0.000984,0.221453287,0.16,0.012056901,0.084213764,0.093564014,-0.153787005,-0.084213764,-0.124567474,0.055363322,0.186082276,-0.153787005,-0.019930796,-0.059115725,0.16,-0.038446751,0.098423683,-0.267958478,-0.062991157,0.259900038,-0.003014225,-0.113740869,0.124567474,-0.088827374,-0.051733948,-0.108512111,0.088827374,-0.124567474,-0.059115725,0.088827374,0.214133026,0.022206844,-0.055363322,0.035432526,0.044844291,0.051733948,-0.310096117,0.048227605,0.012056901,0.135886198,0.035432526,-0.186082276,-0.059115725,-0.051733948,0.108512111,0.008858131,-0.044844291,0.119092657,0.071111111,0.16,-0.14769704,-0.130165321,0.015747789,-0.019930796,-0.228896578,0.214133026,0.075355632,0.03254133,-14.27578949,-21.68566299,-9999,-9999,0.0462,0.0681,0.054,0.2922,0.2254,0.1147,949.43695,4.3587084,44.301777,425,30216,83575,332220,1477230,0.667797926,-147.3899573,63.11558695,0.688041594,0.436225117,0.129057187,-0.621981682,0.35777406,0.15083355,-0.07510769,1.519051749,-0.206050451
00000000000000001079_0,-0.059115725,-0.236462899,0.022206844,-0.199861592,-0.000984,-0.103406382,0.027128028,0.221453287,0.14769704,-0.029773164,0.172795079,0.124567474,-0.135886198,-0.119092657,-0.108512111,-0.044844291,0.098423683,-0.084213764,0.084213764,-0.103406382,0.172795079,-0.051733948,0.084213764,-0.214133026,-0.003936947,0.251964629,-0.108512111,-0.029773164,0.179377163,-0.124567474,-0.038446751,-0.130165321,0.179377163,-0.017777778,-0.048227605,0.084213764,0.186082276,-0.038446751,-0.062991157,0.01384083,-0.093564014,-0.027128028,-0.276139946,0.119092657,-0.007443291,0.124567474,0.015747789,-0.141730104,-0.004982699,0.00615148,0.088827374,0.017777778,0.000554,0.093564014,0.038446751,0.244152249,0.002214533,-0.075355632,-0.019930796,-0.035432526,-0.244152249,0.267958478,0.153787005,0.044844291,-10.65355822,-18.59781796,-9999,-9999,0.0342,0.0521,0.0531,0.2098,0.1799,0.1029,777.6104,2.189724,0,3,32065,85009,375240,1421760,0.953401542,-146.6621423,62.58162834,0.596044123,0.341861209,0.076725686,-0.602138221,0.27789215,0.09725607,-0.07068128,1.745690743,-0.271585846
000000000000000014db_0,-0.055363322,-0.251964629,0.041584006,-0.221453287,0.015747789,-0.16,0.017777778,0.228896578,0.141730104,-0.022206844,0.119092657,0.108512111,-0.172795079,-0.113740869,-0.153787005,-0.044844291,0.066989619,-0.03254133,0.119092657,-0.135886198,0.153787005,0.015747789,0.051733948,-0.199861592,-0.01384083,0.221453287,-0.124567474,0.017777778,0.179377163,-0.172795079,-0.024605921,-0.14769704,0.113740869,0.00615148,-0.041584006,0.108512111,0.186082276,-0.044844291,-0.075355632,0.03254133,-0.079723183,-0.004982699,-0.267958478,0.124567474,-0.017777778,0.141730104,-0.027128028,-0.14769704,-0.03254133,-0.03254133,0.075355632,0.035432526,0.062991157,0.071111111,-0.00615148,0.251964629,-0.017777778,-0.019930796,-0.051733948,0.019930796,-0.236462899,0.267958478,0.108512111,0.041584006,-10.58303565,-17.86356936,-9999,-9999,0.0302,0.04735,0.0411,0.2009,0.1604,0.08715,802.83856,2.487042,186.94545,3,32839,84846,370350,1398540,0.98632478,-146.8060524,62.37995656,0.660330579,0.394896719,0.112095212,-0.618529708,0.2518443,0.100825825,-0.058118895,1.687943795,-0.255936823
000000000000000048c2_0,-0.141730104,-0.221453287,-0.035432526,-0.186082276,0.01384083,-0.124567474,-0.035432526,0.259900038,0.214133026,-0.059115725,0.16,0.135886198,-0.055363322,-0.079723183,-0.141730104,-0.000984,0.244152249,-0.059115725,-0.153787005,-0.141730104,0.108512111,-0.141730104,0.055363322,-0.179377163,-0.027128028,0.267958478,-0.093564014,-0.093564014,0.130165321,0.135886198,-0.059115725,-0.066989619,0.186082276,-0.022206844,-0.108512111,-0.038446751,0.084213764,0.098423683,-0.008858131,0.084213764,0.03254133,0.017777778,-0.172795079,-0.055363322,0.019930796,0.093564014,-0.135886198,-0.017777778,-0.041584006,0.027128028,0.108512111,0.017777778,-0.007443291,0.035432526,0.108512111,0.166336025,-0.130165321,-0.135886198,0.062991157,0.079723183,-0.206935794,0.267958478,0.172795079,0.024605921,-13.79556085,-21.15720292,-9999,-9999,0.0796,0.1056,0.0943,0.4,0.3216,0.1828,1157.5375,28.716085,327.37277,33,29800,83490,329670,1489710,0.756703823,-147.4158288,63.22895434,0.618450334,0.372683596,0.10864745,-0.582278481,0.51928785,0.18418524,-0.11229059,1.533623979,-0.21061688
0000000000000000493f_0,-0.088827374,-0.244152249,-0.003936947,-0.166336025,0.079723183,-0.124567474,0.041584006,0.236462899,0.124567474,0.088827374,0.002214533,0.135886198,-0.130165321,-0.066989619,-0.166336025,0.093564014,0.16,-0.098423683,-0.029773164,-0.075355632,0.141730104,-0.003936947,0.071111111,-0.228896578,-0.044844291,0.199861592,-0.055363322,0.007443291,0.098423683,-0.141730104,-0.124567474,-0.14769704,-0.03254133,-0.108512111,0.007443291,0.066989619,0.236462899,-0.066989619,-0.124567474,0.055363322,0.015747789,0.084213764,-0.32781238,0.044844291,-0.022206844,0.214133026,0.084213764,-0.259900038,-0.108512111,-0.041584006,0.027128028,0.055363322,0.00615148,0.103406382,0.098423683,0.141730104,-0.141730104,-0.075355632,-0.000246,-0.035432526,-0.228896578,0.16,0.035432526,0.017777778,-11.59874735,-18.17549411,-9999,-9999,0.075,0.0953,0.07045,0.3582,0.2363,0.11985,1089.8197,4.8574786,180,33,32924,82965,313920,1395990,0.957755446,-147.9000208,62.4077145,0.671293596,0.498588014,0.205046257,-0.579713341,0.42527964,0.17485829,-0.047628315,1.567022159,-0.220887131
00000000000000004b80_0,-0.130165321,-0.206935794,-0.008858131,-0.221453287,0.022206844,-0.093564014,0.004982699,0.267958478,0.206935794,-0.051733948,0.088827374,0.098423683,-0.055363322,-0.075355632,-0.124567474,0.002214533,0.251964629,-0.015747789,-0.084213764,-0.192910419,0.141730104,-0.003014225,0.003936947,-0.236462899,-0.051733948,0.236462899,-0.041584006,-0.113740869,0.14769704,0.119092657,-0.003014225,-0.135886198,0.135886198,-0.012056901,-0.135886198,-0.059115725,0.055363322,0.088827374,-0.035432526,0.03254133,0.03254133,0.119092657,-0.244152249,-0.098423683,0.007443291,0.119092657,-0.16,0.027128028,-0.055363322,-0.010396002,0.113740869,0.024605921,-0.035432526,0.019930796,0.141730104,0.16,-0.113740869,-0.135886198,0.071111111,0.135886198,-0.192910419,0.236462899,0.130165321,0.044844291,-10.74475868,-20.7068355,-9999,-9999,0.06475,0.08325,0.0829,0.29025,0.2943,0.16955,1215.4283,31.183079,284.53586,33,30207,83833,339960,1477500,0.999690632,-147.2365251,63.11100554,0.555674662,0.262505437,-0.006928406,-0.554216867,0.42549082,0.12065366,-0.13458636,1.927156869,-0.316743144
00000000000000004bf7_0,-0.153787005,-0.179377163,-0.01384083,-0.284444444,0.027128028,-0.012056901,0.041584006,0.236462899,0.113740869,0.048227605,-0.186082276,0.059115725,-0.153787005,-0.075355632,-0.14769704,0.135886198,0.103406382,-0.038446751,0.019930796,-0.038446751,0.124567474,0.113740869,0.01384083,-0.192910419,-0.048227605,0.084213764,0.048227605,-0.010396002,0.00615148,-0.135886198,-0.003014225,-0.119092657,0.022206844,-0.059115725,-0.135886198,0.093564014,0.079723183,-0.075355632,-0.119092657,0.093564014,0.008858131,0.221453287,-0.292871972,-0.055363322,0.141730104,0.276139946,0.066989619,-0.098423683,-0.30142253,-0.071111111,0.098423683,0.003936947,0.044844291,0.008858131,-0.012056901,0.130165321,-0.153787005,0.048227605,-0.004982699,0.084213764,-0.172795079,0.172795079,-0.14769704,-0.035432526,-12.27050864,-20.58932253,-9999,-9999,0.20165,0.2325,0.2719,0.3215,0.39835,0.33725,1454.859,24.223967,160.36105,33,34378,83882,341430,1352370,0.956528583,-147.4521208,61.99601661,0.083586114,-0.023908918,-0.106758352,-0.160649819,0.69996942,-0.05622966,-0.162537075,1.677951838,-0.253160579
0000000000000000510a_0,-0.098423683,0.012056901,-0.038446751,-0.153787005,0.01384083,-0.186082276,-0.103406382,0.244152249,0.206935794,0.048227605,-0.084213764,0.199861592,-0.124567474,0.012056901,-0.236462899,0.084213764,0.135886198,-0.103406382,-0.172795079,0.206935794,0.186082276,0.135886198,-0.055363322,-0.141730104,-0.093564014,0.214133026,0.055363322,-0.015747789,-0.008858131,-0.048227605,0.038446751,0.055363322,-0.003014225,-0.16,-0.084213764,0.108512111,0.276139946,0.051733948,-0.079723183,0.098423683,-0.003936947,0.14769704,-0.259900038,-0.079723183,0.038446751,0.135886198,0.221453287,-0.292871972,-0.055363322,-0.084213764,-0.015747789,0.022206844,0.01384083,-0.093564014,0.048227605,0.024605921,0.038446751,-0.084213764,-0.059115725,-0.044844291,-0.035432526,0.027128028,-0.084213764,0.103406382,-9.361621111,-16.81375516,-9999,-9999,0.054,0.0887,0.089,0.3826,0.2732,0.15945,86.18113,10.921974,117.4232,40,34993,38358,-1024290,1333920,0.800928818,-173.0615624,60.65815566,0.622561493,0.411677889,0.166819152,-0.623594314,0.465614285,0.18600693,-0.08205461,1.796030299,-0.284700169
000000000000000061ba_0,-0.059115725,0.017777778,-0.135886198,-0.206935794,-0.022206844,-0.199861592,0.004982699,0.119092657,0.179377163,0.093564014,-0.284444444,0.214133026,-0.130165321,0.103406382,-0.276139946,0.130165321,0.019930796,-0.022206844,-0.113740869,0.093564014,0.124567474,0.206935794,-0.027128028,-0.166336025,-0.172795079,0.079723183,0.041584006,-0.017777778,-0.051733948,-0.051733948,0.075355632,0.075355632,-0.041584006,-0.141730104,-0.084213764,0.059115725,0.079723183,0.244152249,-0.079723183,0.044844291,0.017777778,0.228896578,-0.259900038,-0.166336025,0.03254133,0.16,0.119092657,-0.236462899,-0.098423683,-0.141730104,0.051733948,0.019930796,-0.015747789,-0.135886198,0.071111111,-0.051733948,-0.055363322,-0.015747789,-0.00615148,0.01384083,-0.012056901,0.051733948,-0.071111111,0.075355632,-9999,-9999,1689,79,0.30085,0.3307,0.3446,0.4392,0.20235,0.1152,313.4125,12.075549,141.81929,60,51085,1327,-2135220,851160,0.527181404,173.1089934,52.8152344,0.120694055,0.584415584,0.369184007,-0.140927393,0.716765665,-0.03915813,0.176650475,1,0
